PreferredSponsors,Gender,Country,city,isFromSocialMedia,SignUpDate,Year,Month,NumPreferredSponsors,Excelerate
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Tirupati,0,2023-03-04,2023,3,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Ajmer,0,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,United States,Chicago,0,2022-09-16,2022,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Pune,0,2023-07-08,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Pakistan,SUKKUR,1,2023-03-21,2023,3,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Kolkata,1,2023-05-04,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Kolkata,0,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,MEDCHALMALKAJGIRI,1,2023-08-17,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,United States,McLean,0,2022-09-21,2022,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Mongolia,Ulaanbaatar,1,2023-06-13,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Tirupati,1,2023-08-13,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,United States,saint louis,0,2023-08-18,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Kandlakoya,1,2023-05-03,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Ahmedabad,1,2023-05-09,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Pakistan,Qila Saifullah,1,2023-03-22,2023,3,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Kolkata,0,2023-06-13,2023,6,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,United States,Bergenfield,0,2022-09-21,2022,9,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,United States,Placentia,0,2022-09-20,2022,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Ojo,1,2023-06-01,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Ghaziabad,1,2023-04-25,2023,4,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Bangladesh,Khulna,1,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,New Delhi,0,2023-03-03,2023,3,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Visakhapatnam,0,2023-06-13,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,United States,Saint Louis city,0,2023-08-29,2023,8,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,United States,Honolulu,0,2022-09-21,2022,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Ghana,Accra,1,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Kolkata,1,2023-06-14,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Ado Ekiti,0,2023-03-03,2023,3,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Victoria Island,0,2023-08-06,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Gard,0,2023-06-24,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Rajahmundry,1,2023-07-11,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Aba,0,2023-08-21,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Varanasi,0,2023-08-11,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Ado,1,2023-06-14,2023,6,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,Mexico,mexico city,0,2022-09-22,2022,9,5,True
"[""GlobalShala"",""Saint Louis University"",""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",2,United States,St louis,0,2023-01-06,2023,1,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Bangalore,0,2023-08-01,2023,8,5,True
"[""Excelerate"",""Illinois Institute of Technology""]",1,India,Dhone,1,2023-05-15,2023,5,2,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Lagos island,0,2023-06-16,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Mayiladuthurai,1,2023-06-21,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Midnapore,0,2023-04-01,2023,4,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",3,Australia,qqq,0,2023-03-28,2023,3,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Ahmedabad,1,2023-08-28,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Ghana,Ho,0,2023-07-07,2023,7,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",2,India,Medak,0,2022-08-10,2022,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Ikotun,0,2023-07-05,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Asaba,1,2023-06-15,2023,6,5,True
"[""Saint Louis University""]",2,United States,Saint Louis,0,2023-08-18,2023,8,1,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Krosuru,0,2023-06-13,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,United States,St Louis,0,2023-08-03,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Gautam Buddha Nagar,0,2023-06-15,2023,6,5,True
"[""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,India,Kadiri,0,2022-10-27,2022,10,3,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Ghana,KOFORIDUA,0,2023-07-11,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Lagos State,1,2023-07-01,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,United States,Saint Louis,1,2023-10-19,2023,10,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Bokaro Steel City,1,2023-06-09,2023,6,5,True
"[""GlobalShala"",""Saint Louis University"",""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",2,United States,Wilmette,0,2023-01-19,2023,1,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Gangtok,0,2023-06-14,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Kamba,0,2023-07-10,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Cherpulassery,1,2023-06-16,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Lagos,0,2023-08-29,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Ibadan,0,2023-08-30,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Hyderabad,0,2023-07-07,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Ooty,0,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",2,India,Gajwel,0,2022-10-30,2022,10,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Chennai,0,2023-09-18,2023,9,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,United States,Buffalo,0,2022-08-25,2022,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,HYDERABAD,1,2023-08-18,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Philippines,Cagayan de Oro city,1,2023-06-16,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Mumbai,1,2023-05-31,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Naugachia,1,2023-05-22,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Ogidi,1,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",2,Ethiopia,Addis Ababa,0,2022-09-28,2022,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Guntur,1,2023-05-19,2023,5,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,India,Hyderabad,0,2022-10-30,2022,10,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Narsampet,0,2023-07-26,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Rajarhat,1,2023-09-25,2023,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Junagadh,0,2023-04-28,2023,4,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Kannur,0,2023-11-01,2023,11,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,United Arab Emirates,Dubai,0,2023-07-22,2023,7,5,True
"[""Saint Louis University""]",2,United States,Saint Louis,0,2023-09-09,2023,9,1,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Delhi,0,2023-07-07,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Ghana,Accra,0,2023-06-24,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Meerut,1,2023-03-20,2023,3,5,True
"[""GlobalShala"",""Saint Louis University"",""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",2,United States,Morganville,0,2023-01-05,2023,1,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",1,India,Nagpur,0,2022-09-26,2022,9,4,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Afghanistan,Maidan wardak,0,2023-03-25,2023,3,5,True
"[""GlobalShala"",""Saint Louis University"",""Excelerate""]",2,India,Hyderabad,1,2023-04-25,2023,4,3,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Lagos,0,2023-08-03,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Osogbo,1,2023-07-22,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,PALWAL,0,2023-05-06,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,United States,Saint Louis City,0,2023-09-04,2023,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Pakistan,Karachi,1,2023-07-13,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Norway,molde,0,2023-05-03,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Pakistan,Mirpur,1,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,India,Kannur,0,2022-09-17,2022,9,5,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",2,India,Ahmedabad,0,2022-12-09,2022,12,3,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",1,United States,Canton,0,2022-10-29,2022,10,3,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,salem,0,2023-07-31,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Lucknow,1,2023-06-14,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,LUCKNOW,1,2023-11-07,2023,11,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Pune,1,2023-06-13,2023,6,5,True
"[""Illinois Institute of Technology""]",2,India,Bangalore,0,2023-08-31,2023,8,1,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,mangaluru,1,2023-05-06,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Algeria,Annaba,1,2023-05-20,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Aligarh,0,2023-05-11,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Vietnam,Hanoi,1,2023-07-15,2023,7,5,True
"[""GlobalShala"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate"",""Grant Thornton China""]",2,Nigeria,Jigawa,1,2023-08-10,2023,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Kenya,Nairobi city,1,2023-07-08,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Hyderabad,1,2023-05-04,2023,5,5,True
"[""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",2,India,Dehradun,0,2023-01-28,2023,1,3,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,Nigeria,Jalingo,0,2023-09-04,2023,9,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Haridwar,1,2023-07-23,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Pakistan,Karachi,0,2023-04-21,2023,4,5,True
"[""Saint Louis University"",""GlobalShala"",""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",1,Nigeria,Alimosho,0,2023-01-28,2023,1,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",0,Nigeria,Ogun,1,2023-09-09,2023,9,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",1,India,wardha,0,2022-08-29,2022,8,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Pune,1,2023-06-26,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Bulandshahr,0,2023-06-11,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Midnapore,0,2023-06-14,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Chopda,0,2023-07-09,2023,7,5,True
"[""GlobalShala"",""Illinois Institute of Technology"",""Saint Louis University"",""Grant Thornton China"",""Excelerate""]",2,India,Faridabad,0,2022-10-25,2022,10,5,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",2,Ethiopia,Addis Ababa,0,2022-10-14,2022,10,3,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Surulere,0,2023-06-15,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Hyderabad,0,2023-06-07,2023,6,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Mumbai,0,2023-07-23,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Peru,Cajamarca,1,2023-04-29,2023,4,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Trichy,1,2023-05-25,2023,5,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Bhopal,1,2023-05-05,2023,5,5,True
"[""Illinois Institute of Technology""]",2,India,Hubli,0,2023-05-02,2023,5,1,False
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,United States,Austin,1,2023-04-07,2023,4,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",1,India,Madurai,0,2023-07-16,2023,7,5,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,India,Thane,0,2023-07-06,2023,7,5,True
"[""Illinois Institute of Technology"",""Grant Thornton China"",""Excelerate""]",2,India,Navi Mumbai,0,2022-10-31,2022,10,3,True
"[""GlobalShala"",""Grant Thornton China"",""Saint Louis University"",""Illinois Institute of Technology"",""Excelerate""]",2,Nigeria,Darazo,0,2023-06-15,2023,6,5,True
